"Date","High Growth","High Growth Socially Conscious","High Growth Indexed","Balanced","Balanced Socially Conscious","Balanced Indexed","Conservative Balanced","Conservative","Defensive","Australian Shares","International Shares","Property","Bonds","Cash"
"14/04/2026","12.153256","1.466123","1.551725","12.566426","3.211701","1.47834","8.327934","2.110701","6.344112","4.266383","4.398851","2.640162","1.122841","3.557031"
"13/04/2026","12.104031","1.461937","1.544854","12.52084","3.202931","1.47229","8.302502","2.105931","6.334522","4.246727","4.387646","2.613904","1.119838","3.556638"
"12/04/2026","12.104031","1.461937","1.544854","12.52084","3.202931","1.47229","8.302502","2.105931","6.334522","4.246727","4.387646","2.613904","1.119838","3.556638"
"11/04/2026","12.104031","1.461937","1.544854","12.52084","3.202931","1.47229","8.302502","2.105931","6.334522","4.246727","4.387646","2.613904","1.119838","3.556638"
"10/04/2026","12.085287","1.46002","1.540711","12.505954","3.199805","1.46892","8.296451","2.105187","6.33233","4.263038","4.348855","2.611394","1.120815","3.555453"
"09/04/2026","12.095681","1.4608","1.54241","12.516066","3.201853","1.470541","8.302806","2.106503","6.334735","4.267223","4.357288","2.602911","1.122328","3.555049"
"08/04/2026","12.099156","1.458416","1.539213","12.52322","3.198122","1.468284","8.309659","2.108688","6.339489","4.259198","4.345839","2.590978","1.124108","3.554645"
"07/04/2026","11.923366","1.436948","1.512149","12.3664","3.15743","1.445736","8.226771","2.094443","6.312234","4.159603","4.292818","2.549208","1.118311","3.554077"
"06/04/2026","11.923366","1.436948","1.512149","12.3664","3.15743","1.445736","8.226771","2.094443","6.312234","4.159603","4.292818","2.549208","1.118311","3.554077"
"05/04/2026","11.923366","1.436948","1.512149","12.3664","3.15743","1.445736","8.226771","2.094443","6.312234","4.159603","4.292818","2.549208","1.118311","3.554077"
"04/04/2026","11.923366","1.436948","1.512149","12.3664","3.15743","1.445736","8.226771","2.094443","6.312234","4.159603","4.292818","2.549208","1.118311","3.554077"
"03/04/2026","11.923366","1.436948","1.512149","12.3664","3.15743","1.445736","8.226771","2.094443","6.312234","4.159603","4.292818","2.549208","1.118311","3.554077"
"02/04/2026","11.84903","1.431405","1.502568","12.300949","3.146457","1.438249","8.193122","2.088908","6.300833","4.095832","4.295419","2.544135","1.117514","3.552108"
